iter	Passed	Remaining
0	142	142799
1	144	72278
2	146	48721
3	147	36849
4	148	29648
5	149	24779
6	150	21289
7	150	18671
8	151	16660
9	151	15045
10	152	13714
11	153	12600
12	153	11658
13	154	10849
14	154	10146
15	154	9531
16	155	8991
17	155	8510
18	156	8077
19	156	7689
20	157	7337
21	157	7017
22	158	6726
23	159	6478
24	159	6233
25	160	6006
26	160	5795
27	161	5601
28	161	5418
29	162	5247
30	162	5089
31	163	4939
32	163	4799
33	164	4666
34	164	4541
35	165	4424
36	165	4312
37	166	4212
38	166	4114
39	167	4020
40	168	3932
41	168	3850
42	169	3770
43	169	3692
44	170	3617
45	170	3545
46	171	3476
47	172	3412
48	172	3350
49	173	3291
50	173	3234
51	174	3178
52	174	3123
53	175	3071
54	175	3020
55	176	2971
56	176	2924
57	177	2879
58	177	2835
59	178	2792
60	178	2751
61	179	2711
62	179	2672
63	180	2634
64	180	2598
65	181	2566
66	182	2536
67	182	2504
68	183	2473
69	183	2443
70	184	2412
71	184	2383
72	185	2355
73	186	2328
74	186	2301
75	187	2275
76	187	2250
77	188	2225
78	188	2201
79	189	2177
80	189	2153
81	190	2130
82	190	2105
83	191	2083
84	191	2061
85	191	2040
86	192	2019
87	192	1999
88	193	1979
89	193	1960
90	194	1941
91	194	1923
92	195	1905
93	195	1888
94	196	1874
95	197	1857
96	197	1840
97	198	1824
98	198	1808
99	199	1792
100	199	1776
101	200	1762
102	200	1747
103	201	1733
104	201	1719
105	202	1705
106	202	1691
107	203	1678
108	203	1664
109	204	1651
110	204	1638
111	205	1626
112	205	1613
113	206	1601
114	206	1589
115	207	1577
116	207	1565
117	207	1554
118	208	1542
119	208	1531
120	209	1520
121	209	1509
122	210	1498
123	210	1488
124	211	1479
125	211	1470
126	212	1460
127	212	1450
128	213	1441
129	213	1431
130	214	1422
131	214	1413
132	215	1403
133	215	1395
134	216	1386
135	216	1377
136	217	1369
137	217	1360
138	218	1352
139	218	1343
140	219	1335
141	219	1326
142	220	1318
143	220	1311
144	221	1303
145	221	1295
146	221	1288
147	222	1280
148	222	1273
149	223	1266
150	223	1258
151	224	1251
152	224	1244
153	225	1238
154	225	1231
155	226	1225
156	227	1220
157	227	1214
158	228	1208
159	229	1202
160	229	1195
161	229	1189
162	230	1183
163	230	1177
164	231	1171
165	231	1165
166	232	1159
167	232	1153
168	233	1147
169	233	1141
170	234	1136
171	234	1130
172	235	1124
173	235	1119
174	236	1113
175	236	1108
176	237	1102
177	237	1097
178	238	1092
179	238	1086
180	239	1081
181	239	1076
182	240	1071
183	240	1066
184	240	1061
185	241	1057
186	242	1053
187	242	1048
188	243	1043
189	243	1039
190	244	1034
191	244	1029
192	245	1025
193	245	1020
194	246	1016
195	246	1011
196	247	1007
197	247	1002
198	248	998
199	248	994
200	248	989
201	249	985
202	249	981
203	250	977
204	250	973
205	251	969
206	251	964
207	252	960
208	252	956
209	253	952
210	253	948
211	254	945
212	254	941
213	255	937
214	255	933
215	256	930
216	257	927
217	257	923
218	258	920
219	258	916
220	258	912
221	259	909
222	259	905
223	260	902
224	260	898
225	261	895
226	261	891
227	262	888
228	262	884
229	263	881
230	263	878
231	264	874
232	264	871
233	265	868
234	265	864
235	266	861
236	266	858
237	267	855
238	267	851
239	268	848
240	268	845
241	268	842
242	269	839
243	269	836
244	270	833
245	270	830
246	271	827
247	272	825
248	272	822
249	273	819
250	273	816
251	274	813
252	274	810
253	274	807
254	275	804
