iter	Passed	Remaining
0	1	151
1	3	158
2	5	171
3	6	167
4	8	158
5	9	146
6	10	138
7	11	130
8	12	125
9	13	123
10	14	118
11	15	115
12	16	112
13	17	110
14	19	111
15	20	109
16	22	109
17	23	108
18	24	106
19	26	104
20	27	102
21	28	100
22	29	98
23	30	96
24	31	95
25	32	92
26	33	91
27	35	90
28	36	89
29	37	87
30	38	85
31	39	83
32	40	81
33	41	79
34	41	77
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	69
41	49	68
42	50	67
43	51	65
44	52	63
45	53	62
46	54	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	53
52	59	52
53	59	51
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	38
64	70	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	76	27
74	77	25
75	78	24
76	79	23
77	80	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
